#Tile Name	Tile ID	Pad	Receiver	Slot	Flavor
Tile21	21	8a	14	1	RG6_230
Tile22	22	8a	14	2	RG6_230
Tile23	23	8a	14	3	RG6_230
Tile24	24	8a	14	4	RG6_230
Tile25	25	8a	14	5	RG6_230
Tile26	26	8a	14	6	RG6_230
Tile47	47	8a	14	7	LMR400_320
Tile28	28	8a	14	8	RG6_230
Tile31	31	2	2	1	RG6_230
Tile32	32	2	2	2	RG6_230
Tile33	33	2	2	3	RG6_150
Tile34	34	2	2	4	RG6_150
Tile35	35	2	2	5	RG6_150
Tile36	36	2	2	6	RG6_150
Tile37	37	2	2	7	RG6_150
Tile38	38	2	2	8	RG6_150
Tile41	41	2a	12	1	RG6_150
Tile42	42	2a	12	2	RG6_150
Tile43	43	2a	12	3	RG6_150
Tile44	44	2a	12	4	RG6_150
Tile45	45	2a	12	5	RG6_150
Tile46	46	2a	12	6	RG6_230
Tile27	27	2a	12	7	RG6_150
Tile48	48	2a	12	8	RG6_230
Tile61	61	1a	11	1	RG6_150
Tile62	62	1a	11	2	RG6_150
Tile63	63	1a	11	3	RG6_150
Tile64	64	1a	11	4	RG6_150
Tile65	65	1a	11	5	RG6_150
Tile66	66	1a	11	6	RG6_150
Tile67	67	1a	11	7	RG6_150
Tile68	68	1a	11	8	RG6_150
